Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,DAVID L BAKER,DAVID L BAKER,21713,2016,97701.21,COVER CROP,GRANT,1,06/30/2016 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION",Domestic Violence Sexual Assault Resource Center (Dove Center),DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER),21550,2016,19188.44,VIOLENCE AGAINST WOMEN ACT,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/OFFICE OF BUSINESS SERVICES,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND,20637,2011,73500,REGIONAL ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/MARYLAND TECHNOLOGY TRANSFER & COMMERCIALIZATION FUND,"RKA Enterprises, LLC. d/b/a Foodem.com","RKA ENTERPRISES, LLC. D/B/A FOODEM.COM",20770,2013,75000,COMMERCIALIZATION INVESTMENT,LOAN,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,MARYLAND FOOD BANK INC,"MARYLAND FOOD BANK, INC.",21227,2012,18514.05,PROGRAM ADMIN - SUMMER,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF,ALLIED YARDS LLC,ALLIED YARDS LLC,21202,2014,100000,BROWNFIELDS TAX CONTRIBUTION FUND,LOAN,1,06/30/2014 12:00:00 AM
RESOURCE CONSERVATION GRANTS,DAVID L SMITH JR,DAVID L SMITH JR,21623,2018,61961,COVER CROP,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,SUSAN ROWE,SUSAN ROWE,21742,2014,56893.2,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Marian House, Inc.","MARIAN HOUSE, INC.",21218,2017,75677,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
MDP- HERITAGE AREAS AUTHORITY,"Baltimore Heritage Area Association, Inc.","BALTIMORE HERITAGE AREA ASSOCIATION, INC.",21201,2018,111128.73,"FY2017 & FY2018 MARYLAND HERITAGE AREAS AUTHORITY (MHAA) - OPERATING ASSISTANCE GRANTS - OPERATING ASSISTANCE TO SUPPORT STAFF SALARIES, OPERATION COSTS, AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.  FY2015 PROJECT- TO SHOWCASE THE 12 MARYLAND HERITAGE AREAS THROUGH ""CONNECT STARS, CONNECT MARYLAND"", A MULTI-PHASED INTERPRETIVE PUBLIC PROGRAM TO COMMEMORATE THE WAR OF 1812.  FY2016 EMERGENCY REQUEST - TO SUPPORT EFFORTS TO RETURN BALTIMORE NEIGHBORHOODS TO A STATE OF BEING VISITOR-READY AND VISITOR-FRIENDLY.",GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ADVENTURE ONE INC DBA HELPING HANDS,ADVENTURE ONE INC DBA HELPING HANDS,20735,2014,97897.11,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGING/MEDICAID WAIVER,"Upper Shore Aging, Inc.","UPPER SHORE AGING, INC.",21620,2012,51500,CASE MGMT. & WAIVER ADMINISTRATIVE COSTS,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,TALBOT COUNTY ARTS COUNCIL INC,"TALBOT COUNTY ARTS COUNCIL, INC.",21601,2014,68803,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY PROGRAM,Eastern Shore Title Company,EASTERN SHORE TITLE COMPANY,21601,2012,331552.71,ALAN & KELE TURNER FARM EASEMENT,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/MATHIAS AGRICULTURE EE PROGRAM,"South Mountain Creamery, LLC","SOUTH MOUNTAIN CREAMERY, LLC",21769-8408,2014,57241.5,MATHIAS AGRICULTURE ENERGY EFFICIENCY GRANTS,GRANT,1,06/30/2014 12:00:00 AM
BOARD OF PUBLIC WORKS/MISCELLANEOUS GRANTS TO PRIVATE NON-PROFIT GROUPS,Historic Annapolis Foundation,HISTORIC ANNAPOLIS FOUNDATION,21401,2013,482000,GRANT FUNDS,GRANT,1,06/30/2013 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Baltimore Chesapeake Bay Outward Bound Center Inc.,BALTIMORE CHESAPEAKE BAY OUTWARD BOUND CENTER INC.,21207,2017,97322,BYRNE - JUSTICE ASSISTANCE GRANT (JAG) PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,"Conflict Resolution Center of Montgomery County, Inc.","CONFLICT RESOLUTION CENTER OF MONTGOMERY COUNTY, INC.",20902,2009,67269,COMMUNITY MEDIATION PERFORMANCE GRANT FUNDS,GRANT,1,06/30/2009 12:00:00 AM
OPERATING ASSISTANCE GRANT,REBUILDING TOGETHER HOWARD  COUNTY,REBUILDING TOGETHER HOWARD COUNTY,21405,2018,20000,OPERATING ASSISTANCE GRANT,GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,"Conflict Resolution Center of Montgomery County, Inc.","CONFLICT RESOLUTION CENTER OF MONTGOMERY COUNTY, INC.",20902,2010,94423,COMMUNITY MEDIATION PERFORMANCE-BASED FUNDING,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/PREVENTION AND HEALTH PROMOTION ADMINISTRATION,Maryland Patient Safety Center,MARYLAND PATIENT SAFETY CENTER,21075,2014,250000,BABIES BORN HEALTHY,GRANT,1,06/30/2014 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/HEAD START,Allegany Co Human Resources Devel Commission Inc,"ALLEGANY CO. HUMAN RESOURCES DEVELOPMENT COMMISSION, INC.",21502,2009,87290,HEAD START,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF HEALTH & MENTAL HYGIENE/MD COMMUNITY HEALTH RESOURCES COMMISSION,"Mid-Shore Mental Health System, Inc.","MID-SHORE MENTAL HEALTH SYSTEM, INC.",21601,2010,66000,IMPROVE ACCESS TO CARE FOR LOW INCOME RESIDENTS,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND TRANSIT ADMINISTRATION/SECTION 5311 RURAL AREA A,GREYHOUND LINES INC,"GREYHOUND LINES, INC.",75201-4285,2017,280656.94,FY2017 ACCRUALS,GRANT,1,06/30/2017 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,Conflict Resolution Center of Baltimore County,CONFLICT RESOLUTION CENTER OF BALTIMORE COUNTY,21221,2016,120000,"COMMUNITY MEDIATION PERFORMANCE FUNDING AT LEVEL 3 FOR THE PURPOSE OF OPERATING THE CENTER ACCORDING TO THE 10-POINT MODEL OF COMMUNITY MEDIATION, AND FUNDING TO CONTINUE TO PROVIDE COMMUNITY CONFERENCING SERVICES IN BALTIMORE COUNTY FOR YOUTH AND COMMUNITIES.  SUPPORT TO DEVELOP NEW PROMOTIONAL MATERIALS, AS WELL AS TO PURCHASE EQUIPMENT TO INCREASE THE EFFICIENCY OF THE CENTER AS IT PROVIDES COMMUNITY MEDIATION SERVICES.",GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT - EMPOWER MD BGE,C & O Conservation Inc,"C & O CONSERVATION, INC.",21795,2015,88975,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2015 12:00:00 AM
RESOURCE CONSERVATION GRANTS,HOLLOWAY BROTHERS,HOLLOWAY BROTHERS,21811,2018,80009,COVER CROP,GRANT,1,06/30/2018 12:00:00 AM
"DEPARTMENT OF LABOR, LICENSING AND REGULATION/CPI",Maryland Workforce Corporation,MARYLAND WORKFORCE CORPORATION,21108,2012,21976,CPI  CAREER PATHWAYS INITIATIVE.  THIS GRANT IS FOR THE IMPLEMENTATION OF THE INITIATIVE AND COST OF TRAVEL TO OTHER AREAS TO OBSERVE “BEST PRACTICES.”,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF AGRICULTURE - TOBACCO TRANSITION PROGRAM,Tri-County Council for S. MD,TRI-COUNTY COUNCIL FOR S. MD,20637,2015,2216000,GRANTS-AG PRESERVATION,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/OFFICE OF GRANTS MANAGEMENT,MOVEABLE FEAST,MOVEABLE FEAST,21205,2016,429537,FUNDS ARE USED TO PROVIDE FOOD TO SOUP KITCHENS AND PANTRIES AS WELL AS PROVIDE NUTRITIONAL  SERVICES TO PERSONS LIVING WITH HIV/AIDS.,GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,HUMANIM INC,"HUMANIM, INC.",21046,2016,505630,21ST CENTURY COMMUNITY LEARNING CENTERS,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY AND FUND,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,34747,2010,400000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY AND FUND (MEDAAF) GRANT,GRANT,1,06/30/2010 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY,BALTIMORE METROPOLITAN COUNCIL Total,BALTIMORE METROPOLITAN COUNCIL,21224,2011,129770.95,ANTI-TERRORISM,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/DIV OF REHABILITATION SERVICES-HQ,SOUTHERN MD CTR FOR INDEPENDENT LIVING INC,SOUTHERN MD CTR FOR INDEPENDENT LIVING INC,20659,2013,191584,COMPREHENSIVE SERV-INDEPENDENT LIVING,GRANT,1,06/30/2013 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,Conflict Resolution Center of Montgomery County,CONFLICT RESOLUTION CENTER OF MONTGOMERY COUNTY,20814,2016,104670,"COMMUNITY MEDIATION PERFORMANCE FUNDING AT LEVEL 5  FOR THE PURPOSE OF PROVIDING COMMUNITY MEDIATION SERVICES ACCORDING TO THE 10-POINT MODEL OF COMMUNITY MEDIATION, AND SUPPORT FOR STAFF TRAINING IN RESTORATIVE PRACTICES AND COMMUNITY CONFERENCING, AS WELL AS THE DEVELOPMENT OF NEW PROMOTIONAL MATERIALS FOR INCREASING OUTREACH TO RESIDENTS OF MONTGOMERY COUNTY, PARTICULARLY THOSE THAT SPEAK SPANISH.",GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,AFTER SCHOOL PROGRAMS INC,"AFTER SCHOOL PROGRAMS, INC.",33063,2016,668438,21ST CENTURY COMMUNITY LEARNING CENTERS,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,Garrett County Arts Council,GARRETT COUNTY ARTS COUNCIL INC,21550,2013,80917,"GRANTEE WILL CARRY OUT ITS FUNCTION AS THE OFFICIAL ARTS COUNCIL FOR GARRETT COUNTY, USING COUNCIL FUNDS FOR ADMINISTRATIVE AND OPERATING EXPENSES, SUB GRANTING TO LOCAL ARTS ORGANIZATIONS, AT LEAST $2,000 FOR ARTISTS IN EDUCATION PROGRAMMING, AND GRANTEE",GRANT,1,06/30/2013 12:00:00 AM
FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIP / CENTER FOR LIFE ENRICHMT,COACH & EQUIP / CENTER FOR LIFE ENRICHMT,20636-0610,2018,187193.6,COACH & EQUIP - SMALL BUS,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Heartly House, Inc.","HEARTLY HOUSE,  INC.",21705,2015,17680,BYRNE - JUSTICE ASSISTANCE GRANT (JAG) PROGRAM INTEREST,GRANT,1,06/30/2015 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"CASA Citizens Assisting and Sheltering the Abused, Inc.","CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC. (CASA)",21740-5401,2011,20745,DOMESTIC VIOLENCE CRISIS COUNSELOR,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/LAWTON CONSERVATION LOAN PROGRAM,Bais Yaakov School for Girls,BAIS YAAKOV SCHOOL FOR GIRLS,21117-0211,2011,184000,LAWTON LOAN,LOAN,1,06/30/2011 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,MENTAL HEALTH ASSOCIATION OF MARYLAND,MENTAL HEALTH ASSOCIATION OF MARYLAND,21093,2016,253500,SUBSTANCE ABUSE AND MENTAL HEALTH,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/HOUSING COUNSELING - STATE FUNDS,Latino Economic Development Corp,"LATINO ECONOMIC DEVELOPMENT CORPORATION OF WASHINGTON, DC",20009,2011,50000,FORECLOSURE/HOUSING COUNSELING ACTIVITIES,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,FLOYD W. PRICE,FLOYD W. PRICE,21635-1932,2012,55896,COVER CROP,GRANT,1,06/30/2012 12:00:00 AM
EMERGENCY SOLUTIONS GRANTS (ESG),ST AMBROSE HOUSING AID,"ST. AMBROSE HOUSING AID CENTER, INC.",21218,2018,108154,EMERGENCY SOLUTIONS GRANTS (ESG),GRANT,1,06/30/2018 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Maryland Institute College of Art,MARYLAND INSTITUTE COLLEGE OF ART,21217,2016,2215578,SELLINGER FORMULA AID,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,VESTA INC,VESTA INC,20706-3125,2012,149459.27,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ABERDEEN PROVING GROUND CHILD DEVELOPING SER,ABERDEEN PROVING GROUND CHILD DEVELOPING SER,21005-5001,2014,82214.69,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/STUDENTS WITH DISABILITIES,Mansef,MANSEF,21285,2009,285459,NON- PUBLIC PLACEMENTS,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,CAPITAL AREA FOOD BANK,CAPITAL AREA FOOD BANK,20017,2014,397486.88,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - AID TO NON-PUBLIC SCHOOLS,Barnes & Noble Booksellers Inc,BARNES & NOBLE BOOKSELLERS INC,75395,2015,76179.79,CIGARETTE REST. FUNDS -NONPUBLIC TEXTBOOKS,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,GARRETT COUNTY ARTS COUNCIL INC,GARRETT COUNTY ARTS COUNCIL INC,21550,2014,68550,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF,JAG WASHINGTON GATEWAY LLC,JAG WASHINGTON GATEWAY LLC,22102,2014,200840,MEDAAF- BROWNFIELDS TAX CONTRIBUTION FUND,LOAN,1,06/30/2014 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/HIGHWAY SAFETY OPERATING,INTEGRATED DESIGN INC,"INTEGRATED DESIGN, INC.",21061-3521,2011,91457,COMMUNICATIONS PROGRAM,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MD AGRICULTURAL FAIR BOARD GRANTS,EASTERN SHORE AREA HEALTH EDUCATION CENTER INC,EASTERN SHORE AREA HEALTH EDUCATION CENTER INC,21613,2017,72837,GRANTS TO NON-GOV ENTITIES,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/DIVISION OF REHAB SERV-CLIENT SERVICES,WESTERN MARYLAND CONSORTIUM,WESTERN MARYLAND CONSORTIUM,21741-0980,2013,82473,REHAB ACT OF 1973-BASIC SUPPORT,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF JUVENILE AND FAMILY SERVICES,The Center for Children (CASA of Southern Maryland),THE CENTER FOR CHILDREN (COURT APPOINTED SPECIAL ADVOCATES (CASA) OF SOUTHERN MARYLAND),20646,2018,80000,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF COMMERCE - MARYLAND TECHNOLOGY COMMERCIALIZATION FUND,Vheda Inc,VHEDA INC,21045,2015,100000,COMMERCIALIZATION INVESTMENT,LOAN,1,06/30/2015 12:00:00 AM
SOCIAL SERVICES ADMINISTRATION,CHAPIN HALL CENTER FOR CHILDREN,CHAPIN HALL CENTER FOR CHILDREN,60637,2018,1331609.25,"FUNDS RESEARCH AND A POLICY CENTER TO IMPROVE THE WELL-BEING OF CHILDREN, YOUTH, FAMILIES, AND THEIR COMMUNITIES.",GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/LATINO LEGAL ACCESS PROGRAM,Community Legal Services of Prince George's County,COMMUNITY LEGAL SERVICES OF PRINCE GEORGE'S COUNTY,20738,2010,94603.57,LEGAL SERVICES 7EDUCATION FOR IMMIGRANTS,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/MARYLAND AFFORDABLE HOUSING TRUST,Washington County Community Action Council,WASHINGTON COUNTY COMMUNITY ACTION COUNCIL,21740,2011,58047,OPERATING ASSISTANCE GRANT - TRANSITIONAL HOUSING,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATE SYSTEM MAINTENANCE,AASHTO,AASHTO,20001,2012,84565,ANNUAL FEE COVERS DEVELOPMENT AND MAINTENANCE COSTS,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARYLAND AGRICULTURAL LAND PRESERVATION FOUNDATION,Mr. and Mrs. Michael Rice,MR. AND MRS. MICHAEL RICE,20664-3312,2009,1650559.52,PURCHASE DEVELOPMENT RIGHTS EASEMENT ON FARM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE - CONSERVATION GRANTS,Wimberly Farms Inc,WIMBERLY FARMS INC,21853 - 0187,2015,66752.5,COVER CROP,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HUMAN SERVICES/SOCIAL SERVICES ADMINISTRATION,CHAPIN HALL CENTER FOR CHILDREN,CHAPIN HALL CENTER FOR CHILDREN,60637,2017,634663.62,"FUNDS ARE USED FOR RESEARCH AND AS A POLICY CENTER THAT FOCUSES ON A MISSION OF IMPROVING THE WELL-BEING OF CHILDREN AND YOUTH, FAMILIES, AND THEIR COMMUNITIES.",GRANT,1,06/30/2017 12:00:00 AM
COMMERCE/MD STATE ARTS COUNCIL,CARROLL CO ARTS COUNCIL,CARROLL CO ARTS COUNCIL,21157,2017,92987,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/S.C. DISTRICT AIDS,TALBOT SOIL CONSERVATION DISTRICT,TALBOT SOIL CONSERVATION DISTRICT,21601,2013,170232.46,S.C. DISTRICT OPERATIONS-AIDES,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/PARTNERSHIP FOR WORKFORCE QUALITY,FYODOR BIOTECHNOLOGIES INC,"FYODOR BIOTECHNOLOGIES, INC.",21201,2011,10000,PARTNERSHIP FOR WORKFORCE QUALITY GRANT,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,MARYLAND FAMILY NETWORK,"MARYLAND FAMILY NETWORK, INC.",21202-4364,2012,538765,BLOCK GRANT- INFANT AND TODDLER CARE,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES - SOCIAL SERVICES ADMINISTRATION & OFFICE OF GRANTS MANAGEMENT,Delmarva Community Services,"DELMARVA COMMUNITY SERVICES, INC.",21613,2015,249194,"FUNDS ARE USED TO PROVIDE RESPITE CARE TO CUSTOMERS WITH FUNCTIONAL DISABILITIES IN BALTIMORE CITY, BALTIMORE, CARROLL, HARFORD AND HOWARD COUNTIES AS WELL AS IN THE EASTERN SHORE REGION.",GRANT,1,06/30/2015 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Northwest Hospital Center,"NORTHWEST HOSPITAL CENTER, INC.",21133-5103,2011,7339.13,FORENSIC LIGHT SOURCE,GRANT,1,06/30/2011 12:00:00 AM
FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIP / EASTER SEALS - HAGERSTWN,COACH & EQUIP / EASTER SEALS - HAGERSTWN,21740-6103,2018,99982.4,COACH & EQUIP - SMALL BUS,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"House of Ruth Maryland, Inc.","HOUSE OF RUTH MARYLAND, INC.",21218-1627,2011,76606.88,MUJERES SANAS (HEALTHY WOMEN),GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,JAMES R. MCGRATH,JAMES R. MCGRATH,21804,2012,54375,COVER CROP,GRANT,1,06/30/2012 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","Conflict Resolution Center of Baltimore County, Inc.","CONFLICT RESOLUTION CENTER OF BALTIMORE COUNTY, INC.",21221,2016,59187,TITLE II FORMULA - JJAC,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MARYLAND ENTERPRISE INVESTMENT FUND,PERVACIO INC.,PERVACIO INC.,20814,2010,100000,ENTERPRISE INVESTMENT LOAN,LOAN,1,06/30/2010 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,CONFERENCE & VISITORS BUREAU OF MONTG CO MD,CONFERENCE & VISTORS BUREAU OF MONTG CO MD,20850,2016,87254,MARYLAND TOURISM BOARD-GENERAL GRANT,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/LOCAL CHILD WELFARE SERVICES,"The Family Junction, Inc.","THE FAMILY JUNCTION, INC.",21502,2009,64262.79,FUNDS ARE USED FOR PARENTING INTERVENTION- FAMILIES WHO ARE AT RISK OR IN CRISIS  IN ALLEGANY COUNTY.,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,RENAISSANCE ADULT MEDICAL CENTER,RENAISSANCE ADULT MEDICAL CENTER,21208,2012,251983.94,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
RURAL LEGACY PROGRAM,Patuxent Tidewater Land Trust,"PATUXENT TIDEWATER LAND TRUST, INC.",20650,2018,29344.78,"NORRIS, RAYMOND M - LOT 500A RLA EASEMENT",GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/FAMILY HEALTH SERVICES & PRIMARY CARE,Greater Baden Medical Center,GREATER BADEN MEDICAL SERVICES,20772,2012,200000,BABIES BORN HEALTHY,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Stevenson University,STEVENSON UNIVERSITY,21153,2013,3244955,SELLINGER FORMULA AID,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF AGRICULTURE - CONSERVATION GRANTS,Hutchison Brothers,HUTCHISON BROTHERS,21625 - 2357,2015,170178,"COVER CROP, NUTRIENT MANAGEMT PLAN",GRANT,1,06/30/2015 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION - LMI COMMUNITY GRANTS,United Communities Against Poverty (PG) FY15,"UNITED COMMUNITIES AGAINST POVERTY, INC.",20743 - 1018,2015,223500,ENERGY EFFICIENCY GRANTS FOR EFFICIENCY UPGRADES IN THE LOW AND MODERATE INCOME SECTOR.,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/OAG COUNSELING,Asian American Homeowners,ASIAN-AMERICAN  HOMEOWNERSHIP COUNSELING INC.,20852,2014,212800,OPERATING ASSISTANCE GRANTS (OAG) COUNSELING,GRANT,1,06/30/2014 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","CASA Citizens Assisting and Sheltering the Abused, Inc.","CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC. (CASA)",21740,2016,129833.82,DOMESTIC VIOLENCE PROTECTION PROGRAM,GRANT,1,06/30/2016 12:00:00 AM
BOARDS AND COMMISSIONS - AMERICORPS FORMULA,A*STAR in Western Maryland,A*STAR IN WESTERN MARYLAND,21532,2015,382360.43,AMERICORPS STATE SERVICE FUNDING,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Stevenson University,STEVENSON UNIVERSITY,21153,2010,2877214,SELLINGER FORMULA,GRANT,1,06/30/2010 12:00:00 AM
